,분류명,조사연도,CO2,개체수,pH,BOD,SS,T-N,T-P,TOC
186,줄날도래과,2015,407.0,44,7.8,2.3,3.6,9.906,0.099,4.74
187,줄날도래과,2016,409.9,35,7.7,2.1,7.5,7.8,0.097,4.6
188,줄날도래과,2017,412.2,48,7.8,3.7,7.4,5.0,0.072,3.3
189,줄날도래과,2018,415.2,37,7.9,4.4,11.2,4.5,0.092,3.6
190,줄날도래과,2019,417.9,908,8.4,4.1,15.2,5.8,0.155,4.8
191,줄날도래과,2020,420.4,1278,8.2,5.1,18.8,5.5,0.104,7.4
192,징거미새우과,2015,407.0,17,7.8,2.3,3.6,9.906,0.099,4.74
193,징거미새우과,2016,409.9,36,7.7,2.1,7.5,7.8,0.097,4.6
194,징거미새우과,2017,412.2,69,7.8,3.7,7.4,5.0,0.072,3.3
195,징거미새우과,2018,415.2,60,7.9,4.4,11.2,4.5,0.092,3.6
196,징거미새우과,2019,417.9,39,8.4,4.1,15.2,5.8,0.155,4.8
197,징거미새우과,2020,420.4,105,8.2,5.1,18.8,5.5,0.104,7.4
198,플라나리아과,2015,407.0,16,7.8,2.3,3.6,9.906,0.099,4.74
199,플라나리아과,2016,409.9,22,7.7,2.1,7.5,7.8,0.097,4.6
200,플라나리아과,2017,412.2,22,7.8,3.7,7.4,5.0,0.072,3.3
201,플라나리아과,2018,415.2,18,7.9,4.4,11.2,4.5,0.092,3.6
202,플라나리아과,2019,417.9,55,8.4,4.1,15.2,5.8,0.155,4.8
203,플라나리아과,2020,420.4,250,8.2,5.1,18.8,5.5,0.104,7.4
