한글과명,한글보통명,조사연도,개체수
검정우럭과,블루길,2020,1
검정우럭과,블루길,2020,1
검정우럭과,배스,2016,2
검정우럭과,배스,2017,1
검정우럭과,배스,2017,1
검정우럭과,배스,2017,1
검정우럭과,배스,2015,1
검정우럭과,배스,2008,1
검정우럭과,배스,2020,1
검정우럭과,배스,2015,1
검정우럭과,배스,2016,1
검정우럭과,배스,2020,1
검정우럭과,배스,2020,3
검정우럭과,배스,2015,1
검정우럭과,배스,2016,1
검정우럭과,배스,2014,1
검정우럭과,배스,2016,1
검정우럭과,배스,2016,1
검정우럭과,배스,2020,1
검정우럭과,배스,2015,1
검정우럭과,배스,2020,1
검정우럭과,배스,2016,5
검정우럭과,배스,2016,1
검정우럭과,배스,2007,1
검정우럭과,배스,2019,2
검정우럭과,배스,2016,1
검정우럭과,배스,2020,2
검정우럭과,배스,2017,1
검정우럭과,배스,2018,4
검정우럭과,배스,2020,2
검정우럭과,배스,2018,8
검정우럭과,배스,2008,1
검정우럭과,배스,2018,2
검정우럭과,배스,2017,1
검정우럭과,배스,2016,1
검정우럭과,배스,2018,1
검정우럭과,배스,2014,3
검정우럭과,배스,2017,1
검정우럭과,배스,2014,4
검정우럭과,배스,2020,1
검정우럭과,배스,2020,10
검정우럭과,배스,2014,2
검정우럭과,배스,2019,2
검정우럭과,배스,2018,1
검정우럭과,배스,2010,28
검정우럭과,배스,2018,1
검정우럭과,배스,2010,1
검정우럭과,배스,2016,1
검정우럭과,배스,2015,1
검정우럭과,배스,2007,1
검정우럭과,배스,2010,5
검정우럭과,배스,2016,1
검정우럭과,배스,2019,3
검정우럭과,배스,2018,1
검정우럭과,배스,2017,1
검정우럭과,배스,2008,1
검정우럭과,배스,2009,2
검정우럭과,배스,2020,1
검정우럭과,배스,2018,9
검정우럭과,배스,2017,2
검정우럭과,배스,2018,1
검정우럭과,배스,2020,1
검정우럭과,배스,2020,1
검정우럭과,배스,2020,1
검정우럭과,배스,2011,1
검정우럭과,배스,2010,1
검정우럭과,배스,2015,1
검정우럭과,배스,2015,1
검정우럭과,배스,2015,1
검정우럭과,배스,2016,1
검정우럭과,배스,2018,4
검정우럭과,배스,2019,3
검정우럭과,배스,2006,1
검정우럭과,배스,2015,1
검정우럭과,배스,2010,3
검정우럭과,배스,2018,1
검정우럭과,배스,2020,8
검정우럭과,배스,2017,1
검정우럭과,배스,2015,3
검정우럭과,배스,2016,1
검정우럭과,배스,2016,1
검정우럭과,배스,2016,2
검정우럭과,배스,2016,1
검정우럭과,배스,2017,1
검정우럭과,배스,2016,1
검정우럭과,배스,2010,1
검정우럭과,배스,2016,1
검정우럭과,배스,2017,5
검정우럭과,배스,2015,2
검정우럭과,배스,2010,6
검정우럭과,배스,2019,2
검정우럭과,배스,2020,5
검정우럭과,배스,2015,5
검정우럭과,배스,2018,1
검정우럭과,배스,2018,1
검정우럭과,배스,2017,1
검정우럭과,배스,2020,1
검정우럭과,배스,2020,1
검정우럭과,배스,2007,1
검정우럭과,배스,2014,5
검정우럭과,배스,2014,1
검정우럭과,배스,2015,1
검정우럭과,배스,2017,1
검정우럭과,배스,2018,1
검정우럭과,배스,2016,1
검정우럭과,배스,2015,15
검정우럭과,배스,2014,1
